user_id,sex,bdate,city
14768,1,20.1,Unknown
22665,2,19.8,Санкт-Петербург
41760,2,23.6.1987,Москва
43881,2,9.11,Санкт-Петербург
138716,2,,Москва
334464,1,,Санкт-Петербург
377311,1,27.9.1988,Москва
387259,1,21.11,Тюмень
403596,1,26.6.1987,Санкт-Петербург
437886,1,7.10,Тюмень
451759,2,8.5.1988,Санкт-Петербург
453049,1,,Санкт-Петербург
479424,1,5.11.1983,Санкт-Петербург
479978,2,,Los Angeles
506732,2,,Санкт-Петербург
508878,2,27.8,Санкт-Петербург
516655,1,10.8.1983,Санкт-Петербург
554319,1,,Санкт-Петербург
566493,1,19.3,Санкт-Петербург
576375,2,19.3.1989,Unknown
577993,2,,Oxford
585497,1,6.10,Санкт-Петербург
596737,2,21.7.1987,Екатеринбург
601015,2,30.10.1901,Москва
607578,1,9.2.1985,Бургас
617944,2,,Челябинск
639780,2,12.4,Unknown
642520,1,7.4.1985,Москва
696357,1,21.9,Unknown
718160,2,28.2.1986,Санкт-Петербург
788845,1,,Salzburg
793849,1,,Санкт-Петербург
864676,1,17.11,Unknown
881029,1,31.5,Санкт-Петербург
921265,2,6.5,Санкт-Петербург
925836,2,25.2.1986,Москва
938540,2,30.12.1980,Huambo
949134,2,5.12.1985,Уфа
958495,2,14.3.1989,Тольятти
983088,1,10.1,Unknown
984152,1,15.2,Санкт-Петербург
992264,1,14.6,Санкт-Петербург
993883,2,24.4.1980,Новомосковск
1028251,1,20.7,Калининград
1035637,1,14.8,Москва
1037005,1,28.6,Томск
1054604,2,22.7,Санкт-Петербург
1109444,2,30.6.1987,Санкт-Петербург
1134685,2,,Санкт-Петербург
1135795,2,,Москва
1184429,1,2.6.1990,Москва
1190774,2,,Красноярск
1195028,2,5.5,Владимир
1210729,1,1.9.1986,Москва
1218401,2,8.4,Unknown
1219532,2,,Unknown
1226083,2,,Киев
1228007,1,28.9.1969,Александров
1260924,2,8.10.1989,Мытищи
1267940,2,,Unknown
1288172,1,12.10.1983,Москва
1293857,2,,Санкт-Петербург
1348902,2,,Unknown
1350685,2,7.10,Краснодар
1393227,1,24.1,Минск
1404712,2,11.6,Санкт-Петербург
1415080,1,11.3,Санкт-Петербург
1429805,1,,Тюмень
1434935,1,27.4.1967,Санкт-Петербург
1442505,1,16.3,Москва
1452638,2,30.1.1988,Unknown
1456735,1,,Санкт-Петербург
1475356,2,24.6.1986,Москва
1482029,2,18.4.1980,Нижний Новгород
1541462,2,28.6.1979,Санкт-Петербург
1653271,2,,Москва
1656882,2,12.10.1986,Москва
1657724,1,14.2,Екатеринбург
1669596,2,9.9,Unknown
1670602,1,3.8,Кемерово
1693870,2,,Unknown
1706687,2,6.5,Санкт-Петербург
1727680,1,2.9,Москва
1732042,1,27.8,Москва
1784226,2,5.1.1970,Санкт-Петербург
1788437,1,7.4,Альметьевск
1797107,2,,Unknown
1805604,1,26.2,Beijing
1827454,1,21.9.1971,Санкт-Петербург
1887785,1,13.5,Санкт-Петербург
1894043,2,9.5.1987,Красноярск
1927970,1,,Нижний Новгород
1965217,1,19.9.1983,Киев
1995725,1,26.6,Екатеринбург
2004054,1,6.2,Омск
2048644,1,,Казань
2084670,2,15.5,Санкт-Петербург
2100621,1,,Домодедово
2130715,2,12.3,Пенза
2143041,1,,Unknown
2163037,1,3.8,Санкт-Петербург
2170746,2,25.2.1980,Москва
2196756,2,,Unknown
2201652,2,8.11.1982,Санкт-Петербург
2249827,2,15.7.1973,Казань
2275854,1,28.11,Воронеж
2278058,1,3.9,Солнечногорск
2328202,1,,Unknown
2329498,1,8.4,Unknown
2379853,1,16.11,Санкт-Петербург
2390623,2,,Москва
2411435,2,,Unknown
2418175,1,,Москва
2454762,2,,Unknown
2456431,2,5.6.1984,Москва
2475072,1,28.1,Unknown
2491155,1,,Набережные Челны
2515324,1,,Unknown
2536846,1,8.12,Санкт-Петербург
2552023,1,5.11.1988,Москва
2617474,2,,Москва
2662115,1,,Псков
2664953,1,10.5,Жуковский
2667481,1,8.7,Unknown
2696624,1,14.12,Москва
2705504,2,19.6.1992,Москва
2715865,2,22.3,Орехово-Зуево
2732325,2,,Москва
2762350,2,,Unknown
2782748,1,7.7,Санкт-Петербург
2814827,1,,Unknown
2822406,2,4.2,Москва
2825663,1,30.3.1986,Владивосток
2853234,1,14.1,Санкт-Петербург
2857370,2,14.12,Unknown
2869731,2,6.8.1986,Воронеж
2909054,2,9.9,Калининград
2914696,1,22.11,Новосибирск
2917371,2,,Калининград
2934436,2,20.7.1988,Москва
2957288,1,15.4.1993,Москва
2971343,1,11.10,Владивосток
3019510,2,,Обнинск
3024733,1,7.8,Unknown
3036067,1,29.1,Москва
3053556,1,15.1,Санкт-Петербург
3096725,1,2.2,Москва
3115573,1,8.12.1972,Санкт-Петербург
3165583,1,25.5.1989,Москва
3179547,1,10.1.1990,Казань
3225203,1,,Санкт-Петербург
3225451,1,,Екатеринбург
3247062,2,,Unknown
3259576,2,9.7.1985,Москва
3311909,2,3.2,Санкт-Петербург
3324485,2,19.6.1980,Псков
3333726,2,31.10,Unknown
3353442,1,3.11,Unknown
3365461,1,14.4,Москва
3373768,2,31.8,Unknown
3405728,1,27.9.1973,Новосибирск
3423665,2,4.7.1980,Москва
3428455,2,27.12,Новосибирск
3457047,2,26.1.1988,Ульяновск
3470054,1,24.10,Санкт-Петербург
3496182,2,10.11.1983,Unknown
3499875,1,22.12,Новокузнецк
3518912,1,1.9.1979,Екатеринбург
3556636,2,29.5.1985,Екатеринбург
3594255,2,29.6,Иркутск
3610495,1,,Екатеринбург
3623459,2,,Unknown
3662051,1,10.11,Калининград
3668728,1,3.12,Stockholm
3706156,2,,Berlin
3842851,1,28.6.1986,Санкт-Петербург
3848483,2,10.9.1982,Санкт-Петербург
3863413,1,,Москва
3868951,1,,Радужный
3878041,2,,Mbale
3895209,2,27.1.1992,Москва
3906367,2,18.5.1983,Воркута
3916515,1,23.3,Самара
3926051,1,17.11,Екатеринбург
3956360,2,12.12,Москва
3965039,1,5.2,Каменск-Уральский
3984043,2,,Unknown
3984094,1,,Unknown
3997781,2,,Unknown
4020433,2,25.4,Санкт-Петербург
4024615,2,,Москва
4039645,2,,Unknown
4081237,2,,Краснодар
4123109,1,9.3.1992,Обнинск
4136848,1,28.12,Москва
4160282,2,6.4.1988,Белгород
4161440,1,28.9,Королёв
4163139,2,25.11.1994,Москва
4195862,1,13.1,Санкт-Петербург
4340252,1,31.8,Санкт-Петербург
4343634,2,,Unknown
4351050,2,10.2,Unknown
4361432,1,,Рязань
4367875,1,,Макеевка
4479196,1,,Москва
4500770,2,12.5,Пушкин
4501765,1,19.5,Санкт-Петербург
4518786,1,24.1,Красноярск
4548969,2,25.4.1981,Екатеринбург
4570170,2,,Unknown
4590661,2,,Москва
4627927,2,,Краснодар
4636601,2,22.1,Санкт-Петербург
4668028,1,29.12,Новосибирск
4698443,1,13.5,Požega
4752983,1,8.1,Одесса
4825879,1,,Днепр (Днепропетровск)
4893274,1,19.6,Северодвинск
4899548,2,,Санкт-Петербург
4912439,2,,Вологда
4951600,2,2.4.1971,Санкт-Петербург
5002993,2,,Unknown
5003571,1,,Зеленоград
5006621,1,12.9.1971,Дрогичин
5021872,2,,Новосибирск
5064250,1,6.1,Москва
5073377,2,14.4,Одесса
5090947,2,8.3.1986,Пермь
5097737,2,11.3.1972,Санкт-Петербург
5114598,2,,Москва
5166798,2,12.9.1975,Санкт-Петербург
5182280,2,,Звенигород
5260848,2,31.10.1988,Омск
5265411,2,26.7,Москва
5299446,1,27.11.1960,Мончегорск
5314648,1,9.11,Брянск
5427092,2,22.1.1981,Кузнецк
5501605,1,1.3.1984,Санкт-Петербург
5513678,1,16.6,Дубна
5524011,2,18.5,Unknown
5571703,1,10.2.1978,New York City
5589683,1,9.3.1991,Los Angeles
5604178,2,25.10,Москва
5634583,2,,Unknown
5675799,2,1.2,Екатеринбург
5692296,2,,Самара
5736043,1,,Москва
5738916,2,1.7,Москва
5770296,2,3.2,Ростов-на-Дону
5778746,1,11.7,Волжский
5785648,1,,Екатеринбург
5794122,1,23.5,Нижний Тагил
5808226,2,30.7,Киев
5809298,1,14.5,Минск
5820865,2,25.4.1969,Санкт-Петербург
5826513,2,,Unknown
5865551,1,,Москва
5932322,1,4.9.1981,Москва
5945564,1,8.5.1988,Нижний Новгород
6003494,2,27.6,Екатеринбург
6006682,1,,Санкт-Петербург
6008146,2,,Ростов-на-Дону
6055617,1,,Unknown
6104346,1,24.12,Unknown
6182621,1,,Unknown
6276661,1,29.9.1987,Unknown
6287628,2,,Unknown
6301075,2,13.4,Москва
6337398,1,14.5,Москва
6349383,2,,Unknown
6358704,2,31.5,Екатеринбург
6395555,2,,Киров
6445586,1,11.12,Санкт-Петербург
6446457,2,1.5.1970,Санкт-Петербург
6465971,1,2.8.1961,Санкт-Петербург
6542502,2,20.4.1987,Череповец
6594915,1,15.1,Калининград
6616429,2,,Unknown
6670726,2,1.12.1982,Санкт-Петербург
6714567,1,5.9,Екатеринбург
6745501,2,,Unknown
6756185,2,10.8.1986,Москва
6812887,2,,Москва
6825108,1,,Санкт-Петербург
6861220,2,21.5,Санкт-Петербург
6916718,1,25.11.1963,Омск
6952923,2,,Unknown
7003082,2,,Москва
7007238,1,,Чебоксары
7011443,1,9.8,Екатеринбург
7022218,2,25.7.1973,Budva
7102202,1,7.12,Минск
7187659,1,24.4.1989,Запорожье
7191271,2,27.9,Набережные Челны
7193851,2,15.9,Краснодар
7206153,1,13.4,Unknown
7321357,1,17.5,Москва
7341078,2,25.9.1985,Вологда
7430348,1,30.8,Воронеж
7444305,1,27.3.1985,Львов
7519707,1,22.10.1967,Октябрьский
7540810,1,19.2.2006,Санкт-Петербург
7553481,1,,Ульяновск
7626467,2,,Unknown
7648617,1,,Unknown
7690089,2,9.10.1985,Москва
7699946,1,,Unknown
7724423,2,6.2,Кропивницкий / Кировоград
7768842,1,9.10,Екатеринбург
7778571,1,,Unknown
7869698,2,,Unknown
7879046,2,12.5,Белая Церковь
7913755,2,9.12.1976,Москва
7933922,1,26.12,Москва
7950969,1,,Москва
8049046,1,13.4.1993,Москва
8069808,1,18.7.1992,Ижевск
8098306,2,18.2,Киев
8121248,2,23.6.1983,Unknown
8160261,1,31.5.1925,Кострома
8177797,2,,Великий Новгород
8181211,2,,Unknown
8190124,2,,Unknown
8191341,1,25.6,Тюмень
8255833,2,11.12,Омск
8286778,2,29.3.1984,Нефтекамск
8296831,1,28.12,Одинцово
8300818,1,,Нижний Новгород
8485824,1,,Москва
8531293,1,10.10,Москва
8532363,1,20.2.1977,Москва
8548060,2,22.10.1979,Северодвинск
8625130,1,30.4,Unknown
8632703,1,20.9,Екатеринбург
8698809,1,22.2,Москва
8700229,1,5.7,Unknown
8734451,1,,Екатеринбург
8752577,1,13.1.1987,Unknown
8770618,1,7.7,Ижевск
8822812,2,,Москва
8886959,1,,Unknown
8906498,1,20.12.1986,Челябинск
8969944,1,24.3,Санкт-Петербург
9055930,2,12.8.1979,Москва
9132944,1,,Unknown
9142472,1,,Казань
9156119,1,6.10,Нижний Новгород
9160086,2,,Тольятти
9216634,2,8.2.1992,Санкт-Петербург
9223198,1,10.1,Ростов-на-Дону
9273519,1,5.5,Санкт-Петербург
9304552,1,23.11,Unknown
9313221,2,27.10,Unknown
9330576,2,7.4.1987,Тула
9360625,1,8.8,Йошкар-Ола
9428247,2,,Смоленск
9510171,1,9.8,Самара
9525215,2,,Unknown
