user_id,sex,bdate,city,birth_year
14768,1,0,Unknown,0
22665,2,0,Санкт-Петербург,0
41760,2,1987-06-23 00:00:00,Москва,1987
43881,2,0,Санкт-Петербург,0
138716,2,0,Москва,0
334464,1,0,Санкт-Петербург,0
377311,1,1988-09-27 00:00:00,Москва,1988
387259,1,0,Тюмень,0
403596,1,1987-06-26 00:00:00,Санкт-Петербург,1987
437886,1,0,Тюмень,0
451759,2,1988-08-05 00:00:00,Санкт-Петербург,1988
453049,1,0,Санкт-Петербург,0
479424,1,1983-05-11 00:00:00,Санкт-Петербург,1983
479978,2,0,Los Angeles,0
506732,2,0,Санкт-Петербург,0
508878,2,0,Санкт-Петербург,0
516655,1,1983-10-08 00:00:00,Санкт-Петербург,1983
554319,1,0,Санкт-Петербург,0
566493,1,0,Санкт-Петербург,0
576375,2,1989-03-19 00:00:00,Unknown,1989
577993,2,0,Oxford,0
585497,1,0,Санкт-Петербург,0
596737,2,1987-07-21 00:00:00,Екатеринбург,1987
601015,2,1901-10-30 00:00:00,Москва,1901
607578,1,1985-09-02 00:00:00,Бургас,1985
617944,2,0,Челябинск,0
639780,2,0,Unknown,0
642520,1,1985-07-04 00:00:00,Москва,1985
696357,1,0,Unknown,0
718160,2,1986-02-28 00:00:00,Санкт-Петербург,1986
788845,1,0,Salzburg,0
793849,1,0,Санкт-Петербург,0
864676,1,0,Unknown,0
881029,1,0,Санкт-Петербург,0
921265,2,0,Санкт-Петербург,0
925836,2,1986-02-25 00:00:00,Москва,1986
938540,2,1980-12-30 00:00:00,Huambo,1980
949134,2,1985-05-12 00:00:00,Уфа,1985
958495,2,1989-03-14 00:00:00,Тольятти,1989
983088,1,0,Unknown,0
984152,1,0,Санкт-Петербург,0
992264,1,0,Санкт-Петербург,0
993883,2,1980-04-24 00:00:00,Новомосковск,1980
1028251,1,0,Калининград,0
1035637,1,0,Москва,0
1037005,1,0,Томск,0
1054604,2,0,Санкт-Петербург,0
1109444,2,1987-06-30 00:00:00,Санкт-Петербург,1987
1134685,2,0,Санкт-Петербург,0
1135795,2,0,Москва,0
1184429,1,1990-02-06 00:00:00,Москва,1990
1190774,2,0,Красноярск,0
1195028,2,0,Владимир,0
